weather_risk,crime_risk,health_risk,political_risk,transport_disruption,destination_popularity,trip_duration,season_risk,risk_score,risk_level
59,41,95,26,11,84,20,61,39.060832249690925,1
80,43,12,36,10,50,2,62,28.335486827768236,0
17,48,43,27,29,51,3,16,36.289656728353954,1
30,74,23,15,33,57,2,97,51.94073690110797,1
93,87,91,45,64,70,23,30,68.05879978988315,2
99,53,54,62,31,94,1,79,59.05275562499737,1
58,64,9,32,73,89,13,99,52.7327293224979,1
45,74,69,53,29,63,4,24,49.52501932655025,1
35,69,4,27,26,58,18,64,44.873186052538486,1
61,13,27,71,27,36,2,4,26.852778625935507,0
59,99,72,65,33,11,1,64,61.5366949970456,1
29,16,51,96,84,71,13,44,52.16249296247265,1
2,41,76,5,24,0,21,7,32.64774641263504,0
15,65,57,86,27,70,4,67,46.44426936589497,1
96,40,85,34,96,50,15,97,76.7178860487351,2
42,24,56,6,66,79,25,8,35.3846341613338,1
48,93,5,69,19,95,19,90,57.56909436359893,1
47,7,7,17,87,55,23,85,43.525952741379406,1
79,24,78,17,18,57,10,55,41.916550343595,1
6,100,3,98,16,49,29,91,70.60486087743487,2
8,73,38,22,44,37,5,31,33.199464773196006,0
27,8,1,55,69,8,19,72,33.59568041761915,0
49,76,30,20,19,3,14,70,47.75127461720836,1
67,97,60,12,76,73,1,58,60.37141703761007,1
49,9,17,0,15,92,29,84,22.89546433541488,0
44,41,47,1,78,5,22,88,44.21347862979844,1
94,47,100,47,9,33,7,79,61.98378669402791,1
16,13,7,43,46,61,2,59,22.363316596110224,0
57,20,6,3,64,71,21,98,31.53492969795849,0
54,17,27,35,26,74,17,56,42.34204775388437,1
47,18,83,27,61,70,2,64,39.159231962437445,1
81,40,40,57,69,8,30,19,69.07886962319215,2
26,46,64,100,65,25,22,32,64.30082474665656,1
96,24,3,69,40,47,14,91,56.13855317233182,1
33,29,74,92,78,6,8,50,59.49100152341888,1
55,19,6,19,73,34,9,51,20.41902653272582,0
52,80,71,21,32,38,14,82,52.039281053677776,1
85,21,14,75,74,98,2,32,46.24574324168766,1
44,91,86,31,92,32,12,26,68.88837482375624,2
28,54,29,85,82,98,7,0,38.591955865671274,1
2,81,18,46,74,70,4,23,43.388389752837234,1
36,64,34,20,77,69,4,51,38.94641547671581,1
83,26,0,85,81,82,11,73,58.67772099053793,1
1,60,16,55,29,85,12,33,36.46359528580105,1
90,27,60,81,72,22,11,44,68.55100961457744,2
54,11,30,45,20,42,21,22,41.97093758112511,1
14,25,35,12,36,53,16,82,36.19393939564417,1
30,27,81,68,94,98,6,53,59.49236153382345,1
55,13,12,12,28,4,30,14,29.977945144456967,0
31,2,39,66,85,48,22,61,66.27870446760288,2
10,95,18,42,42,21,15,33,42.34708542103071,1
67,51,48,79,21,20,2,87,54.93346533254408,1
67,40,33,87,9,76,28,27,58.82815149648136,1
12,93,4,41,55,20,23,87,62.58632782916595,1
28,22,7,89,45,80,14,70,47.61433411485409,1
24,40,86,11,51,100,5,13,38.56191194795865,1
66,85,5,10,4,78,4,76,28.398657072363754,0
73,63,79,100,27,17,9,72,81.835792167227,2
73,40,92,58,0,14,7,46,51.48665424680032,1
94,25,47,45,30,44,7,16,51.04536509362512,1
77,3,31,15,94,55,13,48,29.908840526192265,0
32,8,78,29,15,78,2,61,31.839411020887145,0
10,16,99,69,69,42,10,13,43.31898632513091,1
62,79,12,82,0,16,27,34,62.942720909487825,1
92,64,97,92,56,100,26,70,85.16242271481308,2
98,43,95,41,93,91,1,55,66.40628678499506,2
23,79,14,45,34,66,21,100,48.05634987061106,1
23,16,5,16,19,70,30,21,23.93818527508833,0
3,21,72,8,57,94,18,78,35.78899771242395,1
14,39,7,44,28,47,12,42,35.4918602502446,1
56,92,60,58,90,14,15,22,77.5857819726008,2
55,62,6,10,85,61,7,96,50.74285553205169,1
37,85,69,41,65,45,12,62,55.492966269668415,1
31,25,23,64,64,80,29,54,50.115472857400604,1
83,85,9,81,60,77,19,29,82.56645737045558,2
46,7,6,94,74,47,13,89,62.11603196192671,1
81,22,19,34,46,37,4,3,17.00360262345381,0
97,52,54,39,97,42,28,11,67.62005892216906,2
32,5,7,88,34,63,5,18,36.802717151532065,1
20,86,81,70,0,64,22,65,60.376037924592126,1
96,87,61,27,70,51,10,10,60.47945447913669,1
64,54,30,69,66,53,9,80,59.32821470949908,1
29,30,99,15,99,100,6,19,47.05313691260791,1
62,9,66,45,39,25,12,68,39.959180153749955,1
52,62,67,30,42,17,21,80,67.48213190965622,2
91,54,17,100,56,80,13,88,68.99404204981157,2
25,76,71,3,39,94,1,29,32.79985435533071,0
100,60,56,86,79,61,8,7,75.16610096839216,2
94,12,99,28,43,40,5,76,43.06921456933016,1
18,12,48,3,79,35,13,45,29.6987394179905,0
16,78,68,66,42,47,28,95,65.23994960828901,2
53,16,34,68,22,5,29,19,58.88365162941679,1
4,94,4,14,100,53,30,58,52.20987538816335,1
30,10,12,3,53,27,4,12,6.14020867699937,0
43,73,87,11,71,26,15,49,55.53910930832515,1
97,98,74,41,59,56,2,0,67.64330208442868,2
100,44,36,13,36,97,15,75,53.924507279501626,1
15,5,70,71,98,20,18,61,68.16923816065663,2
90,88,0,7,37,92,24,9,56.62138542591528,1
9,18,3,79,100,52,11,50,45.37753556349092,1
75,53,51,88,43,98,2,43,52.07150719455134,1
85,99,63,72,2,38,14,68,81.48416458808416,2
89,75,94,95,3,100,13,50,68.68861869804262,2
22,4,76,94,98,66,19,46,53.741056582712375,1
90,82,25,4,53,67,3,83,51.32755718707558,1
11,16,82,34,39,56,19,52,32.34627056661913,0
52,75,49,76,81,45,13,82,69.50987945297415,2
47,62,83,34,62,53,23,89,64.44135002012949,1
31,29,17,74,66,85,30,85,59.83393963487271,1
2,42,2,78,69,80,7,96,44.111469989393896,1
77,11,5,100,20,2,23,70,46.7252445489689,1
33,99,100,33,8,70,4,56,45.9773670684598,1
66,24,8,35,73,84,30,53,49.61741848513869,1
41,31,94,2,2,75,15,20,32.74575512081535,0
37,50,73,28,72,50,23,83,56.39412373272099,1
89,67,14,28,13,33,24,70,51.80526123704758,1
9,51,87,45,26,67,19,88,54.74092159679502,1
74,51,14,42,71,67,12,70,62.65327752213609,1
75,58,14,86,62,37,23,48,61.54913249513608,1
38,86,58,78,78,41,15,29,69.47341701729259,2
26,39,29,73,61,37,20,99,63.48962242403194,1
0,84,29,0,4,4,19,74,34.7933142588165,0
94,79,19,47,84,3,14,88,73.02620731262017,2
95,97,61,73,21,8,4,59,72.11202638147401,2
24,92,2,24,13,42,9,51,32.16222858973889,0
3,80,24,42,88,51,29,3,54.090992768593736,1
12,24,55,73,19,41,16,6,37.63926807162659,1
6,78,49,80,54,96,20,71,64.94050549757634,1
83,74,70,86,49,22,8,22,62.60868115203573,1
90,29,21,43,77,39,22,8,51.52982231156735,1
15,68,65,40,4,24,15,78,57.580404381934855,1
75,25,76,38,10,30,7,62,58.27499899147372,1
18,52,39,67,41,58,5,11,48.69077561382966,1
37,80,25,42,47,31,12,50,45.467570966098535,1
60,19,56,40,79,32,17,47,54.396316092261756,1
72,34,58,16,61,67,9,0,37.721120550233316,1
88,80,9,48,15,83,8,61,54.283403558779526,1
4,45,57,23,98,21,9,40,40.79669976533845,1
19,97,15,53,46,11,9,88,48.029159348886196,1
28,0,57,89,97,24,23,11,51.042896567801,1
31,72,94,78,99,58,15,85,82.4656161796601,2
100,82,54,48,5,96,15,0,56.72799853284287,1
78,92,76,98,51,16,5,77,84.44768715948614,2
32,15,31,99,42,4,17,79,54.93810193787627,1
98,99,93,44,50,53,29,41,83.72716484907427,2
50,39,82,77,31,100,23,28,59.19707055452021,1
50,35,92,34,56,55,14,14,47.07191142627228,1
43,35,74,88,49,93,10,34,54.607343368517704,1
14,64,65,37,18,64,11,67,55.91955024921815,1
94,66,53,26,29,3,1,73,56.962186174006845,1
1,47,93,13,14,43,1,18,30.025380978723515,0
17,7,85,85,85,77,24,1,52.09730704335839,1
23,99,42,29,68,51,26,56,61.23254889010269,1
28,22,8,82,39,19,30,58,46.63786421767519,1
13,9,0,8,39,18,19,99,29.76207114619259,0
1,60,23,50,7,67,28,76,41.27570878824509,1
68,41,6,43,29,46,13,55,42.396910423136696,1
97,62,21,44,93,57,8,59,58.35691176084228,1
12,88,11,16,3,37,8,65,37.3480708272059,1
29,9,99,7,14,34,8,45,34.05516966505616,0
51,28,9,34,85,67,23,68,47.26851084053451,1
93,52,63,47,52,0,1,19,43.76972937866411,1
70,79,35,80,3,43,29,83,72.61222926433284,2
77,60,17,46,49,37,24,87,62.86110305655856,1
58,38,70,24,75,78,12,43,44.100611299919244,1
42,61,98,26,34,73,22,46,59.85962145393964,1
20,98,79,61,38,43,5,50,52.81944879570492,1
87,48,98,44,63,26,13,82,76.2124456919468,2
81,89,59,91,60,23,4,17,71.78580028211674,2
2,78,68,44,91,21,4,34,41.69680954773601,1
72,30,14,57,25,27,1,62,42.98997752357943,1
8,25,86,6,27,76,24,70,35.19284579145439,1
74,77,75,19,15,4,23,29,54.608904249061176,1
83,20,25,85,67,2,27,11,54.783645431262684,1
13,34,35,34,53,54,30,51,43.07670525484077,1
43,23,61,42,35,22,29,64,47.988867912997144,1
12,61,1,59,70,83,30,77,43.509858540869686,1
57,29,82,5,38,75,1,0,39.242407320063236,1
93,66,28,51,19,77,24,1,51.65385406422917,1
8,94,7,34,54,46,22,39,45.47838990473041,1
40,83,33,15,44,44,5,56,39.91945790472802,1
98,95,84,42,40,42,5,0,69.33439240471753,2
30,2,27,45,44,19,30,17,28.479408185420844,0
13,46,54,18,92,57,27,42,50.67392381114779,1
49,22,81,54,21,87,10,28,38.008105988758516,1
51,92,3,75,27,25,3,71,54.417482036626,1
66,71,76,27,57,5,11,3,49.54864281414459,1
31,32,29,97,4,57,1,89,40.83808340487005,1
96,56,70,61,14,40,21,17,60.57287434904114,1
52,61,18,78,57,80,12,44,56.881873358093955,1
28,50,14,7,51,86,2,99,30.92644511230213,0
96,47,79,77,65,96,30,66,76.22439358537551,2
93,5,81,33,11,39,25,100,59.19072658582253,1
50,45,99,71,86,91,28,1,56.05422865830556,1
2,35,68,81,49,11,30,72,59.73238615844885,1
60,82,47,25,15,37,1,7,37.04529632758697,1
56,87,19,26,31,26,24,61,50.10389496730081,1
14,75,29,6,22,93,24,32,38.56606907798861,1
64,3,65,61,45,60,24,78,50.318491187994645,1
84,84,34,78,47,36,8,12,56.3891812425894,1
10,40,48,41,43,15,12,90,54.015699152419934,1
73,42,16,16,46,79,28,48,51.54053708599097,1
14,95,44,31,91,66,2,52,43.23616426184498,1
75,87,24,40,96,86,20,57,59.623431231987595,1
42,5,11,92,49,44,24,3,45.74074242791209,1
0,36,13,12,97,15,24,31,36.91075700177518,1
97,75,52,34,82,33,18,71,81.69344786612974,2
16,54,37,64,82,62,24,97,66.08801839124607,2
60,26,10,23,22,24,28,99,46.66679314312399,1
18,53,51,89,44,7,23,54,54.71882384904737,1
94,87,16,91,35,83,4,26,65.49864176918683,2
74,22,1,38,9,53,8,48,24.5154162714972,0
81,75,13,75,7,40,10,46,63.621467200460415,1
43,74,45,76,62,55,11,40,64.02283153410944,1
47,89,96,68,42,74,11,36,62.12101653945444,1
64,30,24,18,83,0,7,87,53.69806456879388,1
79,21,28,5,67,44,21,39,55.97914933481801,1
85,55,24,35,8,25,4,2,37.67429740114329,1
1,53,35,13,84,9,24,72,52.24247913814776,1
67,41,72,29,50,3,20,67,55.599024081854,1
11,78,32,64,57,44,29,38,59.392113305710076,1
29,80,66,59,97,54,1,63,55.5065926398113,1
83,24,90,21,64,51,9,95,56.99682291896481,1
25,80,95,1,2,79,27,93,53.78146397898368,1
80,23,56,22,17,46,15,79,56.00398666106848,1
46,41,72,45,43,59,17,58,41.929981323779906,1
23,2,92,78,3,82,1,2,28.694699245353327,0
33,34,79,36,16,66,23,51,52.84870330698621,1
53,96,30,28,79,91,8,82,59.89937102520746,1
77,44,13,55,14,22,29,85,55.391950802090015,1
61,71,11,7,16,79,12,78,36.760445850706944,1
94,10,89,22,50,70,6,99,46.39436771842346,1
87,64,56,3,9,58,18,52,37.81487740500109,1
76,37,29,53,25,0,15,11,42.13470851413508,1
60,75,34,44,94,54,15,50,57.913869669327255,1
29,93,28,58,63,86,29,32,62.86823300194245,1
41,53,80,62,97,65,11,84,63.193990785457615,1
12,10,61,39,35,0,12,78,35.81245408970896,1
37,48,88,87,62,29,19,42,63.85676764165403,1
93,12,30,92,24,57,6,39,47.78100890625777,1
43,45,47,11,38,81,25,16,36.25886646157095,1
11,6,12,92,17,44,7,4,20.58928346037721,0
65,64,98,19,84,86,8,31,59.16459866368702,1
97,31,51,25,18,80,1,24,43.99489929758767,1
87,20,55,53,20,26,11,26,46.46079717474465,1
27,1,41,2,46,19,18,100,30.48107737056827,0
45,89,27,36,43,91,22,68,56.79112156943825,1
53,84,95,19,31,59,27,55,51.226203377860756,1
25,81,49,48,36,85,24,18,51.443583502766806,1
27,5,68,82,29,93,10,84,42.40787378545717,1
23,35,3,93,92,42,25,65,53.51923785196092,1
100,98,27,21,58,4,6,51,59.2374098860082,1
75,58,81,55,92,91,7,47,63.578592990762125,1
84,12,8,47,99,58,11,55,55.22474965603895,1
82,14,10,41,65,12,17,84,57.092362500680565,1
96,26,81,63,83,53,7,72,60.671249030653144,1
10,98,31,99,11,2,28,48,62.80153576053965,1
89,17,27,40,95,29,9,67,50.75446025626853,1
6,91,57,6,48,35,12,93,57.06727309330074,1
48,68,19,92,72,45,19,32,65.1030393157897,2
60,93,4,94,24,57,13,90,67.60673917584624,2
36,83,0,32,9,84,13,61,44.54757568052714,1
14,33,8,50,89,35,30,18,42.13151954953441,1
19,83,16,87,45,74,14,97,70.14331944612434,2
83,17,70,50,13,95,4,69,44.289532055478794,1
32,29,30,48,66,75,22,38,39.52452532284852,1
31,21,7,93,5,25,22,21,37.962158537212964,1
93,13,1,83,45,68,7,92,58.73156994524724,1
14,9,48,51,71,28,26,83,46.52914718409737,1
92,18,84,16,72,48,12,4,53.217346794268984,1
93,12,34,44,45,64,5,64,40.54792524337088,1
60,38,6,68,37,29,6,11,36.26601781933616,1
16,7,23,27,84,0,22,29,40.30758446356575,1
15,6,50,54,18,84,7,57,24.456164636125553,0
28,99,19,66,7,73,15,25,55.16524150097017,1
